abab0,abab1,abab2,abab3,abAb0,abAb1,abAb2,abAb3,abaB0,abaB1,abaB2,abaB3,abAB0,abAB1,abAB2,abAB3,Abab0,Abab1,Abab2,Abab3,AbAb0,AbAb1,AbAb2,AbAb3,AbaB0,AbaB1,AbaB2,AbaB3,AbAB0,AbAB1,AbAB2,AbAB3,aBab0,aBab1,aBab2,aBab3,aBAb0,aBAb1,aBAb2,aBAb3,aBaB0,aBaB1,aBaB2,aBaB3,aBAB0,aBAB1,aBAB2,aBAB3,ABab0,ABab1,ABab2,ABab3,ABAb0,ABAb1,ABAb2,ABAb3,ABaB0,ABaB1,ABaB2,ABaB3,ABAB0,ABAB1,ABAB2,ABAB3,,Total 0, Total 1, Total 2, Total 3
0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.25000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.12500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.12500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.50000,0.25000,0.12500,0.12500
0.24736,0.12529,0.05785,0.06169,0.02594,0.01314,0.00607,0.00657,0.07183,0.03660,0.01690,0.01791,0.00751,0.00383,0.00177,0.00190,0.02599,0.01317,0.00608,0.00648,0.00265,0.00134,0.00062,0.00067,0.00755,0.00385,0.00178,0.00188,0.00077,0.00039,0.00018,0.00019,0.07199,0.03646,0.01684,0.01796,0.00755,0.00382,0.00177,0.00191,0.02030,0.01034,0.00478,0.00506,0.00212,0.00108,0.00050,0.00054,0.00755,0.00382,0.00176,0.00188,0.00077,0.00039,0.00018,0.00019,0.00213,0.00108,0.00050,0.00053,0.00022,0.00011,0.00005,0.00005,,0.50222,0.25472,0.11762,0.12544
0.20304,0.10197,0.04348,0.04826,0.03358,0.01686,0.00719,0.00798,0.07394,0.03713,0.01583,0.01757,0.01223,0.00614,0.00262,0.00291,0.03358,0.01686,0.00719,0.00798,0.00539,0.00271,0.00115,0.00128,0.01223,0.00614,0.00262,0.00291,0.00196,0.00099,0.00042,0.00047,0.07394,0.03713,0.01583,0.01757,0.01223,0.00614,0.00262,0.00291,0.02614,0.01313,0.00560,0.00621,0.00432,0.00217,0.00093,0.00103,0.01223,0.00614,0.00262,0.00291,0.00196,0.00099,0.00042,0.00047,0.00432,0.00217,0.00093,0.00103,0.00069,0.00035,0.00015,0.00016,,0.51175,0.25701,0.10959,0.12164
0.15765,0.07839,0.03087,0.03566,0.04040,0.02009,0.00791,0.00914,0.07095,0.03528,0.01389,0.01605,0.01818,0.00904,0.00356,0.00411,0.04040,0.02009,0.00791,0.00914,0.01005,0.00500,0.00197,0.00227,0.01818,0.00904,0.00356,0.00411,0.00452,0.00225,0.00089,0.00102,0.07095,0.03528,0.01389,0.01605,0.01818,0.00904,0.00356,0.00411,0.03100,0.01542,0.00607,0.00701,0.00794,0.00395,0.00156,0.00180,0.01818,0.00904,0.00356,0.00411,0.00452,0.00225,0.00089,0.00102,0.00794,0.00395,0.00156,0.00180,0.00198,0.00098,0.00039,0.00045,,0.52103,0.25909,0.10203,0.11785
0.11515,0.05669,0.02062,0.02478,0.04481,0.02206,0.00802,0.00964,0.06323,0.03113,0.01132,0.01361,0.02460,0.01211,0.00441,0.00530,0.04481,0.02206,0.00802,0.00964,0.01692,0.00833,0.00303,0.00364,0.02460,0.01211,0.00441,0.00530,0.00929,0.00458,0.00166,0.00200,0.06323,0.03113,0.01132,0.01361,0.02460,0.01211,0.00441,0.00530,0.03371,0.01660,0.00604,0.00726,0.01312,0.00646,0.00235,0.00282,0.02460,0.01211,0.00441,0.00530,0.00929,0.00458,0.00166,0.00200,0.01312,0.00646,0.00235,0.00282,0.00495,0.00244,0.00089,0.00107,,0.53004,0.26097,0.09490,0.11409
0.07918,0.03860,0.01296,0.01622,0.04568,0.02227,0.00748,0.00936,0.05237,0.02553,0.00857,0.01073,0.03021,0.01473,0.00495,0.00619,0.04568,0.02227,0.00748,0.00936,0.02557,0.01247,0.00419,0.00524,0.03021,0.01473,0.00495,0.00619,0.01691,0.00824,0.00277,0.00346,0.05237,0.02553,0.00857,0.01073,0.03021,0.01473,0.00495,0.00619,0.03363,0.01639,0.00551,0.00689,0.01940,0.00946,0.00318,0.00397,0.03021,0.01473,0.00495,0.00619,0.01691,0.00824,0.00277,0.00346,0.01940,0.00946,0.00318,0.00397,0.01086,0.00529,0.00178,0.00222,,0.53878,0.26266,0.08821,0.11035
0.05163,0.02492,0.00773,0.01006,0.04301,0.02076,0.00644,0.00838,0.04061,0.01960,0.00608,0.00791,0.03383,0.01633,0.00506,0.00659,0.04301,0.02076,0.00644,0.00838,0.03478,0.01679,0.00521,0.00678,0.03383,0.01633,0.00506,0.00659,0.02735,0.01320,0.00409,0.00533,0.04061,0.01960,0.00608,0.00791,0.03383,0.01633,0.00506,0.00659,0.03101,0.01497,0.00464,0.00604,0.02583,0.01247,0.00387,0.00504,0.03383,0.01633,0.00506,0.00659,0.02735,0.01320,0.00409,0.00533,0.02583,0.01247,0.00387,0.00504,0.02089,0.01008,0.00313,0.00407,,0.54725,0.26416,0.08192,0.10666
0.03229,0.01543,0.00442,0.00599,0.03785,0.01809,0.00518,0.00702,0.02984,0.01426,0.00408,0.00553,0.03498,0.01672,0.00479,0.00649,0.03785,0.01809,0.00518,0.00702,0.04306,0.02058,0.00589,0.00799,0.03498,0.01672,0.00479,0.00649,0.03979,0.01902,0.00545,0.00738,0.02984,0.01426,0.00408,0.00553,0.03498,0.01672,0.00479,0.00649,0.02677,0.01280,0.00366,0.00497,0.03138,0.01500,0.00430,0.00582,0.03498,0.01672,0.00479,0.00649,0.03979,0.01902,0.00545,0.00738,0.03138,0.01500,0.00430,0.00582,0.03570,0.01706,0.00489,0.00662,,0.55547,0.26548,0.07603,0.10302
0.01962,0.00929,0.00246,0.00346,0.03158,0.01494,0.00395,0.00557,0.02106,0.00997,0.00264,0.00372,0.03389,0.01604,0.00424,0.00598,0.03158,0.01494,0.00395,0.00557,0.04932,0.02334,0.00617,0.00870,0.03389,0.01604,0.00424,0.00598,0.05293,0.02505,0.00663,0.00934,0.02106,0.00997,0.00264,0.00372,0.03389,0.01604,0.00424,0.00598,0.02195,0.01039,0.00275,0.00387,0.03532,0.01671,0.00442,0.00623,0.03389,0.01604,0.00424,0.00598,0.05293,0.02505,0.00663,0.00934,0.03532,0.01671,0.00442,0.00623,0.05516,0.02610,0.00690,0.00973,,0.56342,0.26663,0.07052,0.09944
0.01172,0.00549,0.00134,0.00197,0.02533,0.01187,0.00290,0.00425,0.01445,0.00677,0.00165,0.00243,0.03124,0.01464,0.00358,0.00525,0.02533,0.01187,0.00290,0.00425,0.05315,0.02490,0.00608,0.00893,0.03124,0.01464,0.00358,0.00525,0.06555,0.03071,0.00750,0.01101,0.01445,0.00677,0.00165,0.00243,0.03124,0.01464,0.00358,0.00525,0.01731,0.00811,0.00198,0.00291,0.03741,0.01753,0.00428,0.00628,0.03124,0.01464,0.00358,0.00525,0.06555,0.03071,0.00750,0.01101,0.03741,0.01753,0.00428,0.00628,0.07848,0.03677,0.00898,0.01318,,0.57112,0.26761,0.06536,0.09591
0.00694,0.00322,0.00073,0.00111,0.01977,0.00917,0.00207,0.00316,0.00974,0.00452,0.00102,0.00156,0.02775,0.01287,0.00290,0.00443,0.01977,0.00917,0.00207,0.00316,0.05469,0.02537,0.00572,0.00874,0.02775,0.01287,0.00290,0.00443,0.07674,0.03561,0.00803,0.01226,0.00974,0.00452,0.00102,0.00156,0.02775,0.01287,0.00290,0.00443,0.01327,0.00615,0.00139,0.00212,0.03781,0.01754,0.00396,0.00604,0.02775,0.01287,0.00290,0.00443,0.07674,0.03561,0.00803,0.01226,0.03781,0.01754,0.00396,0.00604,0.10456,0.04851,0.01094,0.01671,,0.57857,0.26843,0.06055,0.09246
0.00410,0.00188,0.00039,0.00062,0.01516,0.00696,0.00145,0.00230,0.00648,0.00298,0.00062,0.00099,0.02398,0.01102,0.00229,0.00365,0.01516,0.00696,0.00145,0.00230,0.05440,0.02499,0.00521,0.00827,0.02398,0.01102,0.00229,0.00365,0.08608,0.03954,0.00824,0.01309,0.00648,0.00298,0.00062,0.00099,0.02398,0.01102,0.00229,0.00365,0.00996,0.00458,0.00095,0.00152,0.03685,0.01693,0.00353,0.00560,0.02398,0.01102,0.00229,0.00365,0.08608,0.03954,0.00824,0.01309,0.03685,0.01693,0.00353,0.00560,0.13225,0.06075,0.01266,0.02011,,0.58578,0.26909,0.05605,0.08908
0.00242,0.00110,0.00021,0.00035,0.01148,0.00522,0.00100,0.00166,0.00429,0.00195,0.00038,0.00062,0.02032,0.00924,0.00178,0.00294,0.01148,0.00522,0.00100,0.00166,0.05280,0.02402,0.00462,0.00764,0.02032,0.00924,0.00178,0.00294,0.09345,0.04251,0.00818,0.01352,0.00429,0.00195,0.00038,0.00062,0.02032,0.00924,0.00178,0.00294,0.00737,0.00335,0.00064,0.00107,0.03492,0.01588,0.00306,0.00505,0.02032,0.00924,0.00178,0.00294,0.09345,0.04251,0.00818,0.01352,0.03492,0.01588,0.00306,0.00505,0.16058,0.07304,0.01405,0.02324,,0.59275,0.26961,0.05186,0.08578
0.00144,0.00065,0.00012,0.00020,0.00864,0.00389,0.00069,0.00119,0.00283,0.00127,0.00023,0.00039,0.01698,0.00765,0.00136,0.00234,0.00864,0.00389,0.00069,0.00119,0.05036,0.02268,0.00403,0.00694,0.01698,0.00765,0.00136,0.00234,0.09895,0.04457,0.00792,0.01363,0.00283,0.00127,0.00023,0.00039,0.01698,0.00765,0.00136,0.00234,0.00539,0.00243,0.00043,0.00074,0.03239,0.01459,0.00259,0.00446,0.01698,0.00765,0.00136,0.00234,0.09895,0.04457,0.00792,0.01363,0.03239,0.01459,0.00259,0.00446,0.18877,0.08501,0.01510,0.02599,,0.59949,0.26999,0.04796,0.08255
0.00086,0.00038,0.00006,0.00011,0.00648,0.00289,0.00047,0.00085,0.00186,0.00083,0.00014,0.00024,0.01404,0.00626,0.00103,0.00184,0.00648,0.00289,0.00047,0.00085,0.04745,0.02116,0.00347,0.00622,0.01404,0.00626,0.00103,0.00184,0.10281,0.04585,0.00752,0.01347,0.00186,0.00083,0.00014,0.00024,0.01404,0.00626,0.00103,0.00184,0.00391,0.00175,0.00029,0.00051,0.02953,0.01317,0.00216,0.00387,0.01404,0.00626,0.00103,0.00184,0.10281,0.04585,0.00752,0.01347,0.02953,0.01317,0.00216,0.00387,0.21627,0.09644,0.01582,0.02834,,0.60602,0.27024,0.04433,0.07941
0.00052,0.00023,0.00003,0.00006,0.00485,0.00214,0.00032,0.00061,0.00122,0.00054,0.00008,0.00015,0.01152,0.00509,0.00077,0.00144,0.00485,0.00214,0.00032,0.00061,0.04434,0.01958,0.00297,0.00553,0.01152,0.00509,0.00077,0.00144,0.10528,0.04648,0.00704,0.01313,0.00122,0.00054,0.00008,0.00015,0.01152,0.00509,0.00077,0.00144,0.00282,0.00125,0.00019,0.00035,0.02657,0.01173,0.00178,0.00331,0.01152,0.00509,0.00077,0.00144,0.10528,0.04648,0.00704,0.01313,0.02657,0.01173,0.00178,0.00331,0.24271,0.10716,0.01624,0.03026,,0.61233,0.27036,0.04096,0.07635
0.00031,0.00014,0.00002,0.00004,0.00364,0.00159,0.00022,0.00043,0.00081,0.00035,0.00005,0.00010,0.00941,0.00411,0.00058,0.00112,0.00364,0.00159,0.00022,0.00043,0.04119,0.01801,0.00252,0.00489,0.00941,0.00411,0.00058,0.00112,0.10661,0.04661,0.00652,0.01265,0.00081,0.00035,0.00005,0.00010,0.00941,0.00411,0.00058,0.00112,0.00202,0.00089,0.00012,0.00024,0.02364,0.01033,0.00145,0.00280,0.00941,0.00411,0.00058,0.00112,0.10661,0.04661,0.00652,0.01265,0.02364,0.01033,0.00145,0.00280,0.26788,0.11711,0.01638,0.03179,,0.61843,0.27036,0.03783,0.07338
0.00019,0.00008,0.00001,0.00002,0.00273,0.00118,0.00015,0.00031,0.00053,0.00023,0.00003,0.00006,0.00765,0.00331,0.00043,0.00086,0.00273,0.00118,0.00015,0.00031,0.03814,0.01651,0.00213,0.00431,0.00765,0.00331,0.00043,0.00086,0.10704,0.04633,0.00599,0.01209,0.00053,0.00023,0.00003,0.00006,0.00765,0.00331,0.00043,0.00086,0.00145,0.00063,0.00008,0.00016,0.02085,0.00903,0.00117,0.00235,0.00765,0.00331,0.00043,0.00086,0.10704,0.04633,0.00599,0.01209,0.02085,0.00903,0.00117,0.00235,0.29167,0.12625,0.01631,0.03293,,0.62433,0.27025,0.03492,0.07049
0.00012,0.00005,0.00001,0.00001,0.00205,0.00088,0.00010,0.00022,0.00035,0.00015,0.00002,0.00004,0.00621,0.00266,0.00032,0.00067,0.00205,0.00088,0.00010,0.00022,0.03523,0.01510,0.00180,0.00379,0.00621,0.00266,0.00032,0.00067,0.10675,0.04575,0.00546,0.01147,0.00035,0.00015,0.00002,0.00004,0.00621,0.00266,0.00032,0.00067,0.00103,0.00044,0.00005,0.00011,0.01826,0.00782,0.00093,0.00196,0.00621,0.00266,0.00032,0.00067,0.10675,0.04575,0.00546,0.01147,0.01826,0.00782,0.00093,0.00196,0.31403,0.13459,0.01606,0.03374,,0.63005,0.27004,0.03222,0.06769
0.00007,0.00003,0.00000,0.00001,0.00154,0.00065,0.00007,0.00016,0.00023,0.00010,0.00001,0.00002,0.00502,0.00213,0.00023,0.00051,0.00154,0.00065,0.00007,0.00016,0.03252,0.01380,0.00152,0.00332,0.00502,0.00213,0.00023,0.00051,0.10593,0.04495,0.00495,0.01083,0.00023,0.00010,0.00001,0.00002,0.00502,0.00213,0.00023,0.00051,0.00073,0.00031,0.00003,0.00007,0.01589,0.00674,0.00074,0.00162,0.00502,0.00213,0.00023,0.00051,0.10593,0.04495,0.00495,0.01083,0.01589,0.00674,0.00074,0.00162,0.33498,0.14216,0.01566,0.03425,,0.63558,0.26972,0.02972,0.06498
0.00004,0.00002,0.00000,0.00000,0.00116,0.00049,0.00005,0.00011,0.00015,0.00006,0.00001,0.00001,0.00406,0.00171,0.00017,0.00040,0.00116,0.00049,0.00005,0.00011,0.03001,0.01261,0.00128,0.00292,0.00406,0.00171,0.00017,0.00040,0.10469,0.04399,0.00448,0.01019,0.00015,0.00006,0.00001,0.00001,0.00406,0.00171,0.00017,0.00040,0.00052,0.00022,0.00002,0.00005,0.01376,0.00578,0.00059,0.00134,0.00406,0.00171,0.00017,0.00040,0.10469,0.04399,0.00448,0.01019,0.01376,0.00578,0.00059,0.00134,0.35458,0.14899,0.01516,0.03450,,0.64093,0.26931,0.02740,0.06236
0.00003,0.00001,0.00000,0.00000,0.00088,0.00037,0.00003,0.00008,0.00010,0.00004,0.00000,0.00001,0.00328,0.00136,0.00013,0.00030,0.00088,0.00037,0.00003,0.00008,0.02771,0.01153,0.00108,0.00257,0.00328,0.00136,0.00013,0.00030,0.10316,0.04292,0.00403,0.00955,0.00010,0.00004,0.00000,0.00001,0.00328,0.00136,0.00013,0.00030,0.00037,0.00015,0.00001,0.00003,0.01186,0.00493,0.00046,0.00110,0.00328,0.00136,0.00013,0.00030,0.10316,0.04292,0.00403,0.00955,0.01186,0.00493,0.00046,0.00110,0.37289,0.15514,0.01458,0.03452,,0.64611,0.26881,0.02526,0.05982
0.00002,0.00001,0.00000,0.00000,0.00067,0.00028,0.00002,0.00006,0.00007,0.00003,0.00000,0.00001,0.00265,0.00109,0.00009,0.00023,0.00067,0.00028,0.00002,0.00006,0.02560,0.01055,0.00092,0.00226,0.00265,0.00109,0.00009,0.00023,0.10141,0.04178,0.00363,0.00893,0.00007,0.00003,0.00000,0.00001,0.00265,0.00109,0.00009,0.00023,0.00026,0.00011,0.00001,0.00002,0.01018,0.00420,0.00036,0.00090,0.00265,0.00109,0.00009,0.00023,0.10141,0.04178,0.00363,0.00893,0.01018,0.00420,0.00036,0.00090,0.38999,0.16066,0.01394,0.03436,,0.65113,0.26823,0.02328,0.05736
0.00001,0.00000,0.00000,0.00000,0.00051,0.00021,0.00002,0.00004,0.00004,0.00002,0.00000,0.00000,0.00214,0.00087,0.00007,0.00018,0.00051,0.00021,0.00002,0.00004,0.02369,0.00966,0.00077,0.00199,0.00214,0.00087,0.00007,0.00018,0.09952,0.04059,0.00325,0.00834,0.00004,0.00002,0.00000,0.00000,0.00214,0.00087,0.00007,0.00018,0.00018,0.00007,0.00001,0.00002,0.00872,0.00356,0.00028,0.00073,0.00214,0.00087,0.00007,0.00018,0.09952,0.04059,0.00325,0.00834,0.00872,0.00356,0.00028,0.00073,0.40598,0.16560,0.01327,0.03403,,0.65599,0.26757,0.02144,0.05499
0.00001,0.00000,0.00000,0.00000,0.00039,0.00016,0.00001,0.00003,0.00003,0.00001,0.00000,0.00000,0.00172,0.00070,0.00005,0.00014,0.00039,0.00016,0.00001,0.00003,0.02194,0.00886,0.00066,0.00175,0.00172,0.00070,0.00005,0.00014,0.09754,0.03939,0.00292,0.00778,0.00003,0.00001,0.00000,0.00000,0.00172,0.00070,0.00005,0.00014,0.00013,0.00005,0.00000,0.00001,0.00744,0.00301,0.00022,0.00059,0.00172,0.00070,0.00005,0.00014,0.09754,0.03939,0.00292,0.00778,0.00744,0.00301,0.00022,0.00059,0.42094,0.17001,0.01258,0.03358,,0.66071,0.26684,0.01975,0.05271
0.00000,0.00000,0.00000,0.00000,0.00030,0.00012,0.00001,0.00002,0.00002,0.00001,0.00000,0.00000,0.00139,0.00056,0.00004,0.00011,0.00030,0.00012,0.00001,0.00002,0.02036,0.00814,0.00056,0.00155,0.00139,0.00056,0.00004,0.00011,0.09550,0.03819,0.00261,0.00725,0.00002,0.00001,0.00000,0.00000,0.00139,0.00056,0.00004,0.00011,0.00009,0.00004,0.00000,0.00001,0.00634,0.00253,0.00017,0.00048,0.00139,0.00056,0.00004,0.00011,0.09550,0.03819,0.00261,0.00725,0.00634,0.00253,0.00017,0.00048,0.43496,0.17393,0.01189,0.03302,,0.66528,0.26604,0.01818,0.05050
0.00000,0.00000,0.00000,0.00000,0.00023,0.00009,0.00001,0.00002,0.00001,0.00001,0.00000,0.00000,0.00112,0.00044,0.00003,0.00008,0.00023,0.00009,0.00001,0.00002,0.01892,0.00749,0.00047,0.00137,0.00112,0.00044,0.00003,0.00008,0.09344,0.03700,0.00234,0.00675,0.00001,0.00001,0.00000,0.00000,0.00112,0.00044,0.00003,0.00008,0.00006,0.00002,0.00000,0.00000,0.00539,0.00213,0.00013,0.00039,0.00112,0.00044,0.00003,0.00008,0.09344,0.03700,0.00234,0.00675,0.00539,0.00213,0.00013,0.00039,0.44811,0.17743,0.01120,0.03237,,0.66971,0.26517,0.01674,0.04838
0.00000,0.00000,0.00000,0.00000,0.00017,0.00007,0.00000,0.00001,0.00001,0.00000,0.00000,0.00000,0.00091,0.00036,0.00002,0.00006,0.00017,0.00007,0.00000,0.00001,0.01761,0.00690,0.00040,0.00121,0.00091,0.00036,0.00002,0.00006,0.09138,0.03583,0.00209,0.00628,0.00001,0.00000,0.00000,0.00000,0.00091,0.00036,0.00002,0.00006,0.00004,0.00002,0.00000,0.00000,0.00457,0.00179,0.00010,0.00031,0.00091,0.00036,0.00002,0.00006,0.09138,0.03583,0.00209,0.00628,0.00457,0.00179,0.00010,0.00031,0.46047,0.18052,0.01052,0.03165,,0.67402,0.26425,0.01540,0.04633
0.00000,0.00000,0.00000,0.00000,0.00013,0.00005,0.00000,0.00001,0.00001,0.00000,0.00000,0.00000,0.00073,0.00028,0.00002,0.00005,0.00013,0.00005,0.00000,0.00001,0.01642,0.00637,0.00034,0.00107,0.00073,0.00028,0.00002,0.00005,0.08935,0.03468,0.00187,0.00584,0.00001,0.00000,0.00000,0.00000,0.00073,0.00028,0.00002,0.00005,0.00003,0.00001,0.00000,0.00000,0.00387,0.00150,0.00008,0.00025,0.00073,0.00028,0.00002,0.00005,0.08935,0.03468,0.00187,0.00584,0.00387,0.00150,0.00008,0.00025,0.47211,0.18326,0.00986,0.03088,,0.67820,0.26326,0.01417,0.04436
0.00000,0.00000,0.00000,0.00000,0.00010,0.00004,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00059,0.00023,0.00001,0.00004,0.00010,0.00004,0.00000,0.00001,0.01533,0.00589,0.00029,0.00095,0.00059,0.00023,0.00001,0.00004,0.08735,0.03357,0.00167,0.00544,0.00000,0.00000,0.00000,0.00000,0.00059,0.00023,0.00001,0.00004,0.00002,0.00001,0.00000,0.00000,0.00327,0.00126,0.00006,0.00020,0.00059,0.00023,0.00001,0.00004,0.08735,0.03357,0.00167,0.00544,0.00327,0.00126,0.00006,0.00020,0.48310,0.18568,0.00923,0.03007,,0.68227,0.26223,0.01303,0.04247
0.00000,0.00000,0.00000,0.00000,0.00008,0.00003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00048,0.00018,0.00001,0.00003,0.00008,0.00003,0.00000,0.00000,0.01434,0.00546,0.00025,0.00085,0.00048,0.00018,0.00001,0.00003,0.08539,0.03250,0.00149,0.00506,0.00000,0.00000,0.00000,0.00000,0.00048,0.00018,0.00001,0.00003,0.00001,0.00001,0.00000,0.00000,0.00276,0.00105,0.00005,0.00016,0.00048,0.00018,0.00001,0.00003,0.08539,0.03250,0.00149,0.00506,0.00276,0.00105,0.00005,0.00016,0.49348,0.18780,0.00862,0.02923,,0.68622,0.26115,0.01199,0.04064
0.00000,0.00000,0.00000,0.00000,0.00006,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00039,0.00015,0.00001,0.00002,0.00006,0.00002,0.00000,0.00000,0.01344,0.00507,0.00021,0.00076,0.00039,0.00015,0.00001,0.00002,0.08348,0.03146,0.00133,0.00471,0.00000,0.00000,0.00000,0.00000,0.00039,0.00015,0.00001,0.00002,0.00001,0.00000,0.00000,0.00000,0.00233,0.00088,0.00004,0.00013,0.00039,0.00015,0.00001,0.00002,0.08348,0.03146,0.00133,0.00471,0.00233,0.00088,0.00004,0.00013,0.50332,0.18966,0.00804,0.02837,,0.69006,0.26002,0.01102,0.03889
0.00000,0.00000,0.00000,0.00000,0.00005,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00031,0.00012,0.00000,0.00002,0.00005,0.00002,0.00000,0.00000,0.01262,0.00471,0.00018,0.00068,0.00031,0.00012,0.00000,0.00002,0.08162,0.03045,0.00119,0.00438,0.00000,0.00000,0.00000,0.00000,0.00031,0.00012,0.00000,0.00002,0.00001,0.00000,0.00000,0.00000,0.00196,0.00073,0.00003,0.00011,0.00031,0.00012,0.00000,0.00002,0.08162,0.03045,0.00119,0.00438,0.00196,0.00073,0.00003,0.00011,0.51266,0.19127,0.00749,0.02750,,0.69380,0.25886,0.01013,0.03721
