abab0,abab1,abab2,abab3,abAb0,abAb1,abAb2,abAb3,abaB0,abaB1,abaB2,abaB3,abAB0,abAB1,abAB2,abAB3,Abab0,Abab1,Abab2,Abab3,AbAb0,AbAb1,AbAb2,AbAb3,AbaB0,AbaB1,AbaB2,AbaB3,AbAB0,AbAB1,AbAB2,AbAB3,aBab0,aBab1,aBab2,aBab3,aBAb0,aBAb1,aBAb2,aBAb3,aBaB0,aBaB1,aBaB2,aBaB3,aBAB0,aBAB1,aBAB2,aBAB3,ABab0,ABab1,ABab2,ABab3,ABAb0,ABAb1,ABAb2,ABAb3,ABaB0,ABaB1,ABaB2,ABaB3,ABAB0,ABAB1,ABAB2,ABAB3,,Total 0, Total 1, Total 2, Total 3
0.00000,0.00000,0.00000,0.00000,0.00004,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00025,0.00009,0.00000,0.00001,0.00004,0.00001,0.00000,0.00000,0.01186,0.00438,0.00016,0.00061,0.00025,0.00009,0.00000,0.00001,0.07982,0.02949,0.00107,0.00407,0.00000,0.00000,0.00000,0.00000,0.00025,0.00009,0.00000,0.00001,0.00001,0.00000,0.00000,0.00000,0.00165,0.00061,0.00002,0.00008,0.00025,0.00009,0.00000,0.00001,0.07982,0.02949,0.00107,0.00407,0.00165,0.00061,0.00002,0.00008,0.52154,0.19267,0.00697,0.02662,,0.69744,0.25765,0.00931,0.03560
0.00000,0.00000,0.00000,0.00000,0.00003,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00020,0.00007,0.00000,0.00001,0.00003,0.00001,0.00000,0.00000,0.01117,0.00409,0.00014,0.00054,0.00020,0.00007,0.00000,0.00001,0.07808,0.02856,0.00095,0.00379,0.00000,0.00000,0.00000,0.00000,0.00020,0.00007,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00139,0.00051,0.00002,0.00007,0.00020,0.00007,0.00000,0.00001,0.07808,0.02856,0.00095,0.00379,0.00139,0.00051,0.00002,0.00007,0.53000,0.19386,0.00647,0.02574,,0.70099,0.25641,0.00856,0.03404
0.00000,0.00000,0.00000,0.00000,0.00002,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00017,0.00006,0.00000,0.00001,0.00002,0.00001,0.00000,0.00000,0.01053,0.00381,0.00012,0.00049,0.00017,0.00006,0.00000,0.00001,0.07640,0.02767,0.00085,0.00353,0.00000,0.00000,0.00000,0.00000,0.00017,0.00006,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00117,0.00042,0.00001,0.00005,0.00017,0.00006,0.00000,0.00001,0.07640,0.02767,0.00085,0.00353,0.00117,0.00042,0.00001,0.00005,0.53808,0.19488,0.00601,0.02487,,0.70445,0.25513,0.00787,0.03256
0.00000,0.00000,0.00000,0.00000,0.00002,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00013,0.00005,0.00000,0.00001,0.00002,0.00001,0.00000,0.00000,0.00994,0.00357,0.00010,0.00044,0.00013,0.00005,0.00000,0.00001,0.07477,0.02681,0.00076,0.00329,0.00000,0.00000,0.00000,0.00000,0.00013,0.00005,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00098,0.00035,0.00001,0.00004,0.00013,0.00005,0.00000,0.00001,0.07477,0.02681,0.00076,0.00329,0.00098,0.00035,0.00001,0.00004,0.54580,0.19573,0.00557,0.02400,,0.70782,0.25383,0.00723,0.03113
0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00011,0.00004,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00940,0.00334,0.00009,0.00039,0.00011,0.00004,0.00000,0.00000,0.07320,0.02599,0.00068,0.00306,0.00000,0.00000,0.00000,0.00000,0.00011,0.00004,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00082,0.00029,0.00001,0.00003,0.00011,0.00004,0.00000,0.00000,0.07320,0.02599,0.00068,0.00306,0.00082,0.00029,0.00001,0.00003,0.55320,0.19642,0.00516,0.02315,,0.71111,0.25249,0.00664,0.02976
0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00009,0.00003,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00891,0.00313,0.00008,0.00035,0.00009,0.00003,0.00000,0.00000,0.07169,0.02520,0.00061,0.00285,0.00000,0.00000,0.00000,0.00000,0.00009,0.00003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00069,0.00024,0.00001,0.00003,0.00009,0.00003,0.00000,0.00000,0.07169,0.02520,0.00061,0.00285,0.00069,0.00024,0.00001,0.00003,0.56029,0.19698,0.00478,0.02231,,0.71432,0.25113,0.00610,0.02845
0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00007,0.00002,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00844,0.00294,0.00007,0.00032,0.00007,0.00002,0.00000,0.00000,0.07023,0.02445,0.00055,0.00266,0.00000,0.00000,0.00000,0.00000,0.00007,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00058,0.00020,0.00000,0.00002,0.00007,0.00002,0.00000,0.00000,0.07023,0.02445,0.00055,0.00266,0.00058,0.00020,0.00000,0.00002,0.56710,0.19741,0.00443,0.02149,,0.71746,0.24975,0.00560,0.02719
0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00006,0.00002,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00802,0.00276,0.00006,0.00029,0.00006,0.00002,0.00000,0.00000,0.06882,0.02372,0.00049,0.00248,0.00000,0.00000,0.00000,0.00000,0.00006,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00048,0.00017,0.00000,0.00002,0.00006,0.00002,0.00000,0.00000,0.06882,0.02372,0.00049,0.00248,0.00048,0.00017,0.00000,0.00002,0.57366,0.19773,0.00409,0.02069,,0.72053,0.24835,0.00514,0.02598
0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00005,0.00002,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00762,0.00260,0.00005,0.00026,0.00005,0.00002,0.00000,0.00000,0.06746,0.02302,0.00044,0.00231,0.00000,0.00000,0.00000,0.00000,0.00005,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00040,0.00014,0.00000,0.00001,0.00005,0.00002,0.00000,0.00000,0.06746,0.02302,0.00044,0.00231,0.00040,0.00014,0.00000,0.00001,0.57997,0.19793,0.00379,0.01990,,0.72353,0.24692,0.00472,0.02483
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00004,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00725,0.00245,0.00004,0.00024,0.00004,0.00001,0.00000,0.00000,0.06616,0.02235,0.00039,0.00216,0.00000,0.00000,0.00000,0.00000,0.00004,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00034,0.00011,0.00000,0.00001,0.00004,0.00001,0.00000,0.00000,0.06616,0.02235,0.00039,0.00216,0.00034,0.00011,0.00000,0.00001,0.58607,0.19804,0.00350,0.01914,,0.72646,0.24548,0.00434,0.02372
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00003,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00691,0.00231,0.00004,0.00021,0.00003,0.00001,0.00000,0.00000,0.06489,0.02171,0.00035,0.00202,0.00000,0.00000,0.00000,0.00000,0.00003,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00028,0.00009,0.00000,0.00001,0.00003,0.00001,0.00000,0.00000,0.06489,0.02171,0.00035,0.00202,0.00028,0.00009,0.00000,0.00001,0.59195,0.19805,0.00323,0.01839,,0.72934,0.24402,0.00398,0.02266
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00003,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00659,0.00218,0.00003,0.00019,0.00003,0.00001,0.00000,0.00000,0.06368,0.02110,0.00032,0.00188,0.00000,0.00000,0.00000,0.00000,0.00003,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00024,0.00008,0.00000,0.00001,0.00003,0.00001,0.00000,0.00000,0.06368,0.02110,0.00032,0.00188,0.00024,0.00008,0.00000,0.00001,0.59763,0.19798,0.00298,0.01767,,0.73215,0.24255,0.00365,0.02165
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00629,0.00206,0.00003,0.00018,0.00002,0.00001,0.00000,0.00000,0.06250,0.02050,0.00029,0.00176,0.00000,0.00000,0.00000,0.00000,0.00002,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00020,0.00006,0.00000,0.00001,0.00002,0.00001,0.00000,0.00000,0.06250,0.02050,0.00029,0.00176,0.00020,0.00006,0.00000,0.00001,0.60313,0.19784,0.00275,0.01697,,0.73491,0.24106,0.00335,0.02068
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00601,0.00195,0.00003,0.00016,0.00002,0.00001,0.00000,0.00000,0.06137,0.01993,0.00026,0.00164,0.00000,0.00000,0.00000,0.00000,0.00002,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00016,0.00005,0.00000,0.00000,0.00002,0.00001,0.00000,0.00000,0.06137,0.01993,0.00026,0.00164,0.00016,0.00005,0.00000,0.00000,0.60846,0.19762,0.00254,0.01629,,0.73761,0.23956,0.00308,0.01975
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00575,0.00185,0.00002,0.00015,0.00001,0.00000,0.00000,0.00000,0.06028,0.01938,0.00023,0.00154,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00014,0.00004,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.06028,0.01938,0.00023,0.00154,0.00014,0.00004,0.00000,0.00000,0.61363,0.19733,0.00234,0.01563,,0.74026,0.23806,0.00282,0.01886
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00550,0.00175,0.00002,0.00013,0.00001,0.00000,0.00000,0.00000,0.05922,0.01886,0.00021,0.00144,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00011,0.00004,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.05922,0.01886,0.00021,0.00144,0.00011,0.00004,0.00000,0.00000,0.61864,0.19698,0.00216,0.01500,,0.74286,0.23654,0.00259,0.01801
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00527,0.00166,0.00002,0.00012,0.00001,0.00000,0.00000,0.00000,0.05820,0.01835,0.00019,0.00134,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00010,0.00003,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.05820,0.01835,0.00019,0.00134,0.00010,0.00003,0.00000,0.00000,0.62351,0.19658,0.00199,0.01438,,0.74542,0.23501,0.00238,0.01720
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00506,0.00158,0.00001,0.00011,0.00001,0.00000,0.00000,0.00000,0.05722,0.01786,0.00017,0.00126,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00008,0.00002,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.05722,0.01786,0.00017,0.00126,0.00008,0.00002,0.00000,0.00000,0.62824,0.19612,0.00183,0.01379,,0.74792,0.23348,0.00218,0.01642
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00486,0.00150,0.00001,0.00010,0.00001,0.00000,0.00000,0.00000,0.05626,0.01739,0.00015,0.00118,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00007,0.00002,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.05626,0.01739,0.00015,0.00118,0.00007,0.00002,0.00000,0.00000,0.63285,0.19561,0.00169,0.01322,,0.75039,0.23194,0.00200,0.01568
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00467,0.00143,0.00001,0.00009,0.00000,0.00000,0.00000,0.00000,0.05534,0.01694,0.00013,0.00110,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00006,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05534,0.01694,0.00013,0.00110,0.00006,0.00002,0.00000,0.00000,0.63733,0.19505,0.00155,0.01267,,0.75281,0.23039,0.00184,0.01496
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00449,0.00136,0.00001,0.00008,0.00000,0.00000,0.00000,0.00000,0.05445,0.01650,0.00012,0.00103,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00005,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05445,0.01650,0.00012,0.00103,0.00005,0.00001,0.00000,0.00000,0.64170,0.19445,0.00143,0.01214,,0.75519,0.22884,0.00168,0.01428
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00432,0.00129,0.00001,0.00008,0.00000,0.00000,0.00000,0.00000,0.05359,0.01608,0.00011,0.00096,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00004,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05359,0.01608,0.00011,0.00096,0.00004,0.00001,0.00000,0.00000,0.64595,0.19381,0.00132,0.01163,,0.75753,0.22729,0.00154,0.01364
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00416,0.00123,0.00001,0.00007,0.00000,0.00000,0.00000,0.00000,0.05275,0.01567,0.00010,0.00090,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00003,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05275,0.01567,0.00010,0.00090,0.00003,0.00001,0.00000,0.00000,0.65011,0.19313,0.00121,0.01114,,0.75984,0.22573,0.00142,0.01301
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00400,0.00118,0.00001,0.00007,0.00000,0.00000,0.00000,0.00000,0.05194,0.01528,0.00009,0.00085,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00003,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05194,0.01528,0.00009,0.00085,0.00003,0.00001,0.00000,0.00000,0.65416,0.19242,0.00111,0.01066,,0.76210,0.22418,0.00130,0.01242
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00386,0.00112,0.00001,0.00006,0.00000,0.00000,0.00000,0.00000,0.05115,0.01490,0.00008,0.00079,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05115,0.01490,0.00008,0.00079,0.00002,0.00001,0.00000,0.00000,0.65812,0.19168,0.00103,0.01021,,0.76434,0.22262,0.00119,0.01185
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00372,0.00107,0.00001,0.00005,0.00000,0.00000,0.00000,0.00000,0.05039,0.01453,0.00007,0.00074,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05039,0.01453,0.00007,0.00074,0.00002,0.00001,0.00000,0.00000,0.66198,0.19090,0.00094,0.00977,,0.76654,0.22106,0.00109,0.01131
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00360,0.00103,0.00000,0.00005,0.00000,0.00000,0.00000,0.00000,0.04966,0.01418,0.00006,0.00070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04966,0.01418,0.00006,0.00070,0.00002,0.00000,0.00000,0.00000,0.66576,0.19010,0.00087,0.00935,,0.76871,0.21950,0.00100,0.01080
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00347,0.00098,0.00000,0.00005,0.00000,0.00000,0.00000,0.00000,0.04894,0.01384,0.00006,0.00065,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04894,0.01384,0.00006,0.00065,0.00001,0.00000,0.00000,0.00000,0.66946,0.18927,0.00080,0.00895,,0.77084,0.21794,0.00092,0.01030
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00336,0.00094,0.00000,0.00004,0.00000,0.00000,0.00000,0.00000,0.04824,0.01351,0.00005,0.00061,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04824,0.01351,0.00005,0.00061,0.00001,0.00000,0.00000,0.00000,0.67308,0.18842,0.00073,0.00856,,0.77295,0.21638,0.00084,0.00983
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00325,0.00090,0.00000,0.00004,0.00000,0.00000,0.00000,0.00000,0.04757,0.01319,0.00005,0.00058,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04757,0.01319,0.00005,0.00058,0.00001,0.00000,0.00000,0.00000,0.67662,0.18755,0.00067,0.00819,,0.77503,0.21482,0.00077,0.00938
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00314,0.00086,0.00000,0.00004,0.00000,0.00000,0.00000,0.00000,0.04691,0.01288,0.00004,0.00054,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04691,0.01288,0.00004,0.00054,0.00001,0.00000,0.00000,0.00000,0.68009,0.18665,0.00062,0.00783,,0.77708,0.21327,0.00071,0.00895
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00304,0.00083,0.00000,0.00003,0.00000,0.00000,0.00000,0.00000,0.04628,0.01258,0.00004,0.00051,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04628,0.01258,0.00004,0.00051,0.00001,0.00000,0.00000,0.00000,0.68349,0.18573,0.00057,0.00749,,0.77910,0.21171,0.00065,0.00854
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00295,0.00079,0.00000,0.00003,0.00000,0.00000,0.00000,0.00000,0.04566,0.01228,0.00003,0.00048,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04566,0.01228,0.00003,0.00048,0.00001,0.00000,0.00000,0.00000,0.68682,0.18480,0.00052,0.00716,,0.78110,0.21016,0.00059,0.00814
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00286,0.00076,0.00000,0.00003,0.00000,0.00000,0.00000,0.00000,0.04505,0.01200,0.00003,0.00045,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04505,0.01200,0.00003,0.00045,0.00000,0.00000,0.00000,0.00000,0.69009,0.18385,0.00048,0.00685,,0.78307,0.20862,0.00055,0.00777
